skills_match,experience_gap,education_match,ats_final_score
0.4370861069626263,-2.975723406981246,0,26.36
0.9556428757689246,-2.2503722034623235,0,48.09
0.7587945476302645,0.7776378205274266,0,62.42
0.6387926357773329,-2.3477466526120576,0,40.05
0.24041677639819287,2.2252686104066037,1,51.78
0.2403950683025824,-0.142240581660672,1,44.11
0.15227525095137953,0.17118940788905088,1,43.26
0.8795585311974417,-0.5567459352157881,1,73.99
0.6410035105688879,1.5456956770874464,1,74.7
0.737265320016441,1.5663197755540215,1,78.91
0.1185260448662222,0.6701087038243428,1,39.05
0.9729188669457949,1.1295782118152962,1,94.84
0.8491983767203796,-0.42417933984085127,1,70.97
0.29110519961044856,1.084406013818097,1,54.68
0.26364247048639056,-0.6757555509476135,1,39.8
0.2650640588680905,0.004463244324804001,0,23.95
0.373818018663584,-0.5492874987325949,1,45.21
0.5722807884690141,-0.9144370786383919,0,36.44
0.48875051677790415,-1.3782235954435804,0,37.17
0.36210622617823773,0.935380207717771,1,54.24
0.6506676052501416,2.6212118256269266,1,78.78
0.22554447458683766,2.342203943339119,1,54.25
0.3629301836816964,-2.513130671890871,1,36.27
0.4297256589643226,2.5784061028137466,1,66.88
0.5104629857953323,-0.6363170032358577,1,57.29
0.8066583652537123,1.2014660302911833,0,65.75
0.2797064039425238,-1.812430664094422,1,34.2
0.5628109945722505,0.28395982774801065,1,64.85
0.6331731119758383,0.6274463657938142,1,67.84
0.14180537144799796,-2.9692095838393056,0,7.33
0.6467903667112945,1.2165343326883786,0,52.55
0.2534717113185624,2.6918700156766304,1,60.66
0.1585464336867516,-0.34929589136325584,1,39.35
0.9539969835279999,2.720336261656026,1,100.0
0.9690688297671034,-0.37938698690481504,1,76.48
0.827557613304815,1.6991690620932345,0,75.62
0.3741523922560336,-4.437139931902199,1,35.38
0.1879049026057455,4.837555558626927,1,54.84
0.7158097238609412,2.990916490485914,0,68.2
0.4961372443656412,-0.5692510085073578,1,58.25
0.20983441136030095,-3.944178053287636,1,29.22
0.5456592191001431,0.5760567366109783,1,63.2
0.13094966900369656,-2.8878510941475137,0,7.65
0.9183883618709039,0.889707075114976,1,80.12
0.3329019834400152,0.8231314383285638,1,57.91
0.6962700559185838,-1.8828063380040496,1,53.37
0.3805399684804699,2.2419340472287552,0,52.14
0.5680612190600297,1.611149405612347,1,74.36
0.5920392514089517,1.9516466745771268,1,73.63
0.26636900997297436,0.017715407337790756,1,48.82
0.9726261649881027,-2.831048133827413,1,70.16
0.7976195410250031,1.9557445444222752,1,84.59
0.9455490474077702,-0.5407427982715823,0,61.1
0.905344615384884,-2.779560286385338,1,61.35
0.6381099809299766,2.704078731948652,0,62.95
0.9296868115208051,4.198815041005019,0,79.19
0.17964325184672755,-0.08249625795840605,1,42.33
0.27638457617723067,4.318242309206584,0,48.33
